secs	accel
3067.800000	0.141846
3074.700000	-0.136230
3082.900000	0.022949
3083.800000	0.004150
3084.200000	0.006592
3085.500000	-0.012451
3093.100000	-0.126953
3114.700000	0.188721
3120.000000	-0.001709
3120.400000	0.012207
3122.000000	-0.018555
3122.400000	-0.009033
3122.900000	-0.000244
3123.300000	0.017822
3125.100000	0.006836
3147.300000	0.116943
3155.600000	-0.254150
3165.400000	0.083496
3175.700000	0.014160
3177.000000	0.002197
3181.000000	-0.081299
3191.400000	0.191895
3214.300000	-0.033447
3223.400000	0.168457
3232.500000	-0.201416
3237.200000	-0.007324
3237.600000	0.025879
3238.500000	-0.005859
3239.000000	0.009033
3245.000000	-0.085205
3249.800000	-0.011230
3253.800000	0.053955
3256.500000	-0.025879
3258.300000	0.011963
3266.000000	0.153076
3276.000000	-0.091064
3303.700000	0.255615
3311.900000	-0.261475
3322.100000	0.074951
3333.700000	-0.091309
3361.600000	0.211426
3371.100000	-0.067139
3378.900000	0.087646
3384.600000	-0.130615
3394.200000	0.025146
3396.200000	0.004150
3396.600000	-0.005615
3397.300000	-0.014404
3397.700000	0.032715
3398.300000	-0.005615
3398.800000	0.004395
3399.400000	0.008057
3404.100000	-0.108154
3599.100000	0.190186
3608.700000	-0.083252
3612.800000	-0.004639
3615.900000	0.137939
3625.400000	-0.255371
3631.700000	0.009277
3634.000000	0.080322
3644.300000	-0.071533
3647.400000	-0.002441
3647.800000	0.022217
3648.600000	0.022949
3649.000000	-0.005371
3649.400000	0.010986
3655.600000	0.166992
3664.100000	-0.002197
3669.900000	0.150146
3683.400000	-0.097168
3690.700000	0.171143
